database	omics_type	url	local_path	note
SoyOmics	cds	https://ngdc.cncb.ac.cn/soyomics/static/data/download/cds/SoyL02.v1.CDS.fasta.gz	soybean_SoyOmics/cds/SoyL02.v1.CDS.fasta.gz	processed_genome_annotation_sequence
SoyOmics	protein	https://ngdc.cncb.ac.cn/soyomics/static/data/download/protein/SoyL02.v1.prot.fasta.gz	soybean_SoyOmics/protein/SoyL02.v1.prot.fasta.gz	processed_genome_annotation_sequence
SoyOmics	ncRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/ncRNA/SoyL02.ncRNA.gff3.gz	soybean_SoyOmics/ncRNA/SoyL02.ncRNA.gff3.gz	processed_genome_annotation_sequence
SoyOmics	repeat	https://ngdc.cncb.ac.cn/soyomics/static/data/download/repeat/SoyL02.repeat.gff3.gz	soybean_SoyOmics/repeat/SoyL02.repeat.gff3.gz	processed_genome_annotation_sequence
SoyOmics	genome	https://ngdc.cncb.ac.cn/soyomics/static/data/download/genome/SoyC05.v1.fasta.gz	soybean_SoyOmics/genome/SoyC05.v1.fasta.gz	processed_genome_annotation_sequence
SoyOmics	gene	https://ngdc.cncb.ac.cn/soyomics/static/data/download/gene/SoyC05.gene.gff.gz	soybean_SoyOmics/gene/SoyC05.gene.gff.gz	processed_genome_annotation_sequence
SoyOmics	mRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/mRNA/SoyC05.v1.mRNA.fasta.gz	soybean_SoyOmics/mRNA/SoyC05.v1.mRNA.fasta.gz	processed_genome_annotation_sequence
SoyOmics	cds	https://ngdc.cncb.ac.cn/soyomics/static/data/download/cds/SoyC05.v1.CDS.fasta.gz	soybean_SoyOmics/cds/SoyC05.v1.CDS.fasta.gz	processed_genome_annotation_sequence
SoyOmics	protein	https://ngdc.cncb.ac.cn/soyomics/static/data/download/protein/SoyC05.v1.prot.fasta.gz	soybean_SoyOmics/protein/SoyC05.v1.prot.fasta.gz	processed_genome_annotation_sequence
SoyOmics	ncRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/ncRNA/SoyC05.ncRNA.gff3.gz	soybean_SoyOmics/ncRNA/SoyC05.ncRNA.gff3.gz	processed_genome_annotation_sequence
SoyOmics	repeat	https://ngdc.cncb.ac.cn/soyomics/static/data/download/repeat/SoyC05.repeat.gff3.gz	soybean_SoyOmics/repeat/SoyC05.repeat.gff3.gz	processed_genome_annotation_sequence
SoyOmics	genome	https://ngdc.cncb.ac.cn/soyomics/static/data/download/genome/SoyC12.v1.fasta.gz	soybean_SoyOmics/genome/SoyC12.v1.fasta.gz	processed_genome_annotation_sequence
SoyOmics	gene	https://ngdc.cncb.ac.cn/soyomics/static/data/download/gene/SoyC12.gene.gff.gz	soybean_SoyOmics/gene/SoyC12.gene.gff.gz	processed_genome_annotation_sequence
SoyOmics	mRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/mRNA/SoyC12.v1.mRNA.fasta.gz	soybean_SoyOmics/mRNA/SoyC12.v1.mRNA.fasta.gz	processed_genome_annotation_sequence
SoyOmics	cds	https://ngdc.cncb.ac.cn/soyomics/static/data/download/cds/SoyC12.v1.CDS.fasta.gz	soybean_SoyOmics/cds/SoyC12.v1.CDS.fasta.gz	processed_genome_annotation_sequence
SoyOmics	protein	https://ngdc.cncb.ac.cn/soyomics/static/data/download/protein/SoyC12.v1.prot.fasta.gz	soybean_SoyOmics/protein/SoyC12.v1.prot.fasta.gz	processed_genome_annotation_sequence
SoyOmics	ncRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/ncRNA/SoyC12.ncRNA.gff3.gz	soybean_SoyOmics/ncRNA/SoyC12.ncRNA.gff3.gz	processed_genome_annotation_sequence
SoyOmics	repeat	https://ngdc.cncb.ac.cn/soyomics/static/data/download/repeat/SoyC12.repeat.gff3.gz	soybean_SoyOmics/repeat/SoyC12.repeat.gff3.gz	processed_genome_annotation_sequence
SoyOmics	genome	https://ngdc.cncb.ac.cn/soyomics/static/data/download/genome/SoyC09.v1.fasta.gz	soybean_SoyOmics/genome/SoyC09.v1.fasta.gz	processed_genome_annotation_sequence
SoyOmics	gene	https://ngdc.cncb.ac.cn/soyomics/static/data/download/gene/SoyC09.gene.gff.gz	soybean_SoyOmics/gene/SoyC09.gene.gff.gz	processed_genome_annotation_sequence
SoyOmics	mRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/mRNA/SoyC09.v1.mRNA.fasta.gz	soybean_SoyOmics/mRNA/SoyC09.v1.mRNA.fasta.gz	processed_genome_annotation_sequence
SoyOmics	cds	https://ngdc.cncb.ac.cn/soyomics/static/data/download/cds/SoyC09.v1.CDS.fasta.gz	soybean_SoyOmics/cds/SoyC09.v1.CDS.fasta.gz	processed_genome_annotation_sequence
SoyOmics	protein	https://ngdc.cncb.ac.cn/soyomics/static/data/download/protein/SoyC09.v1.prot.fasta.gz	soybean_SoyOmics/protein/SoyC09.v1.prot.fasta.gz	processed_genome_annotation_sequence
SoyOmics	ncRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/ncRNA/SoyC09.ncRNA.gff3.gz	soybean_SoyOmics/ncRNA/SoyC09.ncRNA.gff3.gz	processed_genome_annotation_sequence
SoyOmics	repeat	https://ngdc.cncb.ac.cn/soyomics/static/data/download/repeat/SoyC09.repeat.gff3.gz	soybean_SoyOmics/repeat/SoyC09.repeat.gff3.gz	processed_genome_annotation_sequence
SoyOmics	genome	https://ngdc.cncb.ac.cn/soyomics/static/data/download/genome/SoyC13.v1.fasta.gz	soybean_SoyOmics/genome/SoyC13.v1.fasta.gz	processed_genome_annotation_sequence
SoyOmics	gene	https://ngdc.cncb.ac.cn/soyomics/static/data/download/gene/SoyC13.gene.gff.gz	soybean_SoyOmics/gene/SoyC13.gene.gff.gz	processed_genome_annotation_sequence
SoyOmics	mRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/mRNA/SoyC13.v1.mRNA.fasta.gz	soybean_SoyOmics/mRNA/SoyC13.v1.mRNA.fasta.gz	processed_genome_annotation_sequence
SoyOmics	cds	https://ngdc.cncb.ac.cn/soyomics/static/data/download/cds/SoyC13.v1.CDS.fasta.gz	soybean_SoyOmics/cds/SoyC13.v1.CDS.fasta.gz	processed_genome_annotation_sequence
SoyOmics	protein	https://ngdc.cncb.ac.cn/soyomics/static/data/download/protein/SoyC13.v1.prot.fasta.gz	soybean_SoyOmics/protein/SoyC13.v1.prot.fasta.gz	processed_genome_annotation_sequence
SoyOmics	ncRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/ncRNA/SoyC13.ncRNA.gff3.gz	soybean_SoyOmics/ncRNA/SoyC13.ncRNA.gff3.gz	processed_genome_annotation_sequence
SoyOmics	repeat	https://ngdc.cncb.ac.cn/soyomics/static/data/download/repeat/SoyC13.repeat.gff3.gz	soybean_SoyOmics/repeat/SoyC13.repeat.gff3.gz	processed_genome_annotation_sequence
SoyOmics	genome	https://ngdc.cncb.ac.cn/soyomics/static/data/download/genome/SoyC14.v1.fasta.gz	soybean_SoyOmics/genome/SoyC14.v1.fasta.gz	processed_genome_annotation_sequence
SoyOmics	gene	https://ngdc.cncb.ac.cn/soyomics/static/data/download/gene/SoyC14.gene.gff.gz	soybean_SoyOmics/gene/SoyC14.gene.gff.gz	processed_genome_annotation_sequence
SoyOmics	mRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/mRNA/SoyC14.v1.mRNA.fasta.gz	soybean_SoyOmics/mRNA/SoyC14.v1.mRNA.fasta.gz	processed_genome_annotation_sequence
SoyOmics	cds	https://ngdc.cncb.ac.cn/soyomics/static/data/download/cds/SoyC14.v1.CDS.fasta.gz	soybean_SoyOmics/cds/SoyC14.v1.CDS.fasta.gz	processed_genome_annotation_sequence
SoyOmics	protein	https://ngdc.cncb.ac.cn/soyomics/static/data/download/protein/SoyC14.v1.prot.fasta.gz	soybean_SoyOmics/protein/SoyC14.v1.prot.fasta.gz	processed_genome_annotation_sequence
SoyOmics	ncRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/ncRNA/SoyC14.ncRNA.gff3.gz	soybean_SoyOmics/ncRNA/SoyC14.ncRNA.gff3.gz	processed_genome_annotation_sequence
SoyOmics	repeat	https://ngdc.cncb.ac.cn/soyomics/static/data/download/repeat/SoyC14.repeat.gff3.gz	soybean_SoyOmics/repeat/SoyC14.repeat.gff3.gz	processed_genome_annotation_sequence
SoyOmics	genome	https://ngdc.cncb.ac.cn/soyomics/static/data/download/genome/SoyC11.v1.fasta.gz	soybean_SoyOmics/genome/SoyC11.v1.fasta.gz	processed_genome_annotation_sequence
SoyOmics	gene	https://ngdc.cncb.ac.cn/soyomics/static/data/download/gene/SoyC11.gene.gff.gz	soybean_SoyOmics/gene/SoyC11.gene.gff.gz	processed_genome_annotation_sequence
SoyOmics	mRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/mRNA/SoyC11.v1.mRNA.fasta.gz	soybean_SoyOmics/mRNA/SoyC11.v1.mRNA.fasta.gz	processed_genome_annotation_sequence
SoyOmics	cds	https://ngdc.cncb.ac.cn/soyomics/static/data/download/cds/SoyC11.v1.CDS.fasta.gz	soybean_SoyOmics/cds/SoyC11.v1.CDS.fasta.gz	processed_genome_annotation_sequence
SoyOmics	protein	https://ngdc.cncb.ac.cn/soyomics/static/data/download/protein/SoyC11.v1.prot.fasta.gz	soybean_SoyOmics/protein/SoyC11.v1.prot.fasta.gz	processed_genome_annotation_sequence
SoyOmics	ncRNA	https://ngdc.cncb.ac.cn/soyomics/static/data/download/ncRNA/SoyC11.ncRNA.gff3.gz	soybean_SoyOmics/ncRNA/SoyC11.ncRNA.gff3.gz	processed_genome_annotation_sequence
SoyOmics	repeat	https://ngdc.cncb.ac.cn/soyomics/static/data/download/repeat/SoyC11.repeat.gff3.gz	soybean_SoyOmics/repeat/SoyC11.repeat.gff3.gz	processed_genome_annotation_sequence
SoyOmics	genome	https://ngdc.cncb.ac.cn/soyomics/static/data/download/genome/SoyC07.v1.fasta.gz	soybean_SoyOmics/genome/SoyC07.v1.fasta.gz	processed_genome_annotation_sequence
